,1,2,3
0,1,1,11
1,1,0,12
2,1,0,21
3,1,0,22
4,2,0,11
5,2,0,12
6,2,0,21
7,2,0,22
8,3,1,11
9,3,1,12
10,3,1,21
11,3,1,22
12,5,0,11
13,5,0,12
14,5,1,21
15,5,0,22
16,6,0,11
17,6,0,12
18,6,0,21
19,6,0,22
20,7,0,11
21,7,0,12
22,7,1,21
23,7,0,22
24,8,0,11
25,8,0,12
26,8,0,21
27,8,0,22
28,9,0,11
29,9,0,12
30,9,0,21
31,9,0,22
36,12,0,11
37,12,0,12
38,12,0,21
39,12,1,22
40,13,0,11
41,13,0,12
42,13,1,21
43,13,0,22
44,15,0,11
45,15,0,12
46,15,0,21
47,15,1,22
48,16,0,11
49,16,0,12
50,16,0,21
51,16,1,22
52,17,1,11
53,17,0,12
54,17,1,21
55,17,1,22
56,18,0,11
57,18,0,12
58,18,0,21
59,18,0,22
60,19,0,11
61,19,1,12
62,19,0,21
63,19,0,22
64,20,0,11
65,20,0,12
66,20,0,21
67,20,0,22
68,21,1,11
69,21,0,12
70,21,1,21
71,21,1,22
72,22,1,11
73,22,0,12
74,22,1,21
75,22,0,22
80,24,1,11
81,24,1,12
82,24,1,21
83,24,1,22
84,26,1,11
85,26,0,12
86,26,0,21
87,26,0,22
92,28,1,11
93,28,1,12
94,28,1,21
95,28,1,22
96,29,1,11
97,29,1,12
98,29,0,21
99,29,0,22
100,30,1,11
101,30,0,12
102,30,1,21
103,30,0,22
104,31,0,11
105,31,0,12
106,31,0,21
107,31,0,22
108,32,0,11
109,32,0,12
110,32,0,21
111,32,0,22
112,33,0,11
113,33,0,12
114,33,0,21
115,33,0,22
116,34,0,11
117,34,0,12
118,34,0,21
119,34,0,22
120,35,0,11
121,35,1,12
122,35,1,21
123,35,0,22
124,37,1,11
125,37,0,12
126,37,1,21
127,37,1,22
132,40,0,11
133,40,0,12
134,40,0,21
135,40,0,22
136,41,0,11
137,41,0,12
138,41,0,21
139,41,0,22
140,42,0,11
141,42,0,12
142,42,0,21
143,42,0,22
144,43,1,11
145,43,0,12
146,43,1,21
147,43,1,22
148,44,1,11
149,44,0,12
150,44,1,21
151,44,1,22
152,45,0,11
153,45,0,12
154,45,0,21
155,45,0,22
156,46,0,11
157,46,0,12
158,46,0,21
159,46,0,22
164,48,1,11
165,48,0,12
166,48,0,21
167,48,0,22
172,50,0,11
173,50,1,12
174,50,1,21
175,50,0,22
176,51,1,11
177,51,1,12
178,51,0,21
179,51,1,22
180,52,1,11
181,52,1,12
182,52,1,21
183,52,1,22
184,53,0,11
185,53,0,12
186,53,0,21
187,53,0,22
188,54,0,11
189,54,0,12
190,54,0,21
191,54,0,22
192,56,1,11
193,56,1,12
194,56,1,21
195,56,1,22
200,58,0,11
201,58,1,12
202,58,1,21
203,58,1,22
204,59,1,11
205,59,1,12
206,59,1,21
207,59,1,22
208,60,0,11
209,60,0,12
210,60,1,21
211,60,0,22
212,61,1,11
213,61,1,12
214,61,1,21
215,61,1,22
216,62,1,11
217,62,1,12
218,62,1,21
219,62,1,22
224,64,0,11
225,64,0,12
226,64,0,21
227,64,0,22
228,65,1,11
229,65,0,12
230,65,1,21
231,65,0,22
232,66,1,11
233,66,0,12
234,66,1,21
235,66,0,22
236,67,0,11
237,67,0,12
238,67,0,21
239,67,0,22
240,68,0,11
241,68,0,12
242,68,0,21
243,68,0,22
244,69,0,11
245,69,0,12
246,69,0,21
247,69,0,22
248,71,0,11
249,71,0,12
250,71,0,21
251,71,0,22
252,72,1,11
253,72,0,12
254,72,0,21
255,72,1,22
256,73,1,11
257,73,1,12
258,73,0,21
259,73,0,22
260,74,1,11
261,74,0,12
262,74,1,21
263,74,1,22
264,75,0,11
265,75,0,12
266,75,1,21
