0,1,1,11
1,1,0,12
2,1,0,21
3,1,0,22
6,2,0,21
7,2,0,22
5,2,0,12
4,2,0,11
8,3,1,11
10,3,1,21
11,3,1,22
9,3,1,12
12,5,0,11
13,5,0,12
15,5,0,22
14,5,1,21
16,6,0,11
17,6,0,12
19,6,0,22
18,6,0,21
22,7,1,21
23,7,0,22
20,7,0,11
21,7,0,12
24,8,0,11
26,8,0,21
27,8,0,22
25,8,0,12
29,9,0,12
30,9,0,21
31,9,0,22
28,9,0,11
33,11,0,12
34,11,1,21
35,11,0,22
32,11,0,11
38,12,0,21
36,12,0,11
37,12,0,12
39,12,1,22
40,13,0,11
42,13,1,21
43,13,0,22
41,13,0,12
47,15,1,22
44,15,0,11
45,15,0,12
46,15,0,21
48,16,0,11
49,16,0,12
50,16,0,21
51,16,1,22
55,17,1,22
54,17,1,21
53,17,0,12
52,17,1,11
59,18,0,22
58,18,0,21
57,18,0,12
56,18,0,11
61,19,1,12
60,19,0,11
62,19,0,21
63,19,0,22
67,20,0,22
64,20,0,11
66,20,0,21
65,20,0,12
71,21,1,22
70,21,1,21
69,21,0,12
68,21,1,11
73,22,0,12
72,22,1,11
74,22,1,21
75,22,0,22
76,23,1,11
77,23,0,12
78,23,1,21
79,23,0,22
83,24,1,22
82,24,1,21
81,24,1,12
80,24,1,11
86,26,0,21
85,26,0,12
84,26,1,11
87,26,0,22
91,27,1,22
90,27,1,21
89,27,1,12
88,27,1,11
93,28,1,12
92,28,1,11
95,28,1,22
94,28,1,21
96,29,1,11
97,29,1,12
98,29,0,21
99,29,0,22
100,30,1,11
101,30,0,12
102,30,1,21
103,30,0,22
104,31,0,11
105,31,0,12
106,31,0,21
107,31,0,22
111,32,0,22
108,32,0,11
109,32,0,12
110,32,0,21
115,33,0,22
112,33,0,11
113,33,0,12
114,33,0,21
116,34,0,11
117,34,0,12
118,34,0,21
119,34,0,22
120,35,0,11
123,35,0,22
121,35,1,12
122,35,1,21
124,37,1,11
125,37,0,12
126,37,1,21
127,37,1,22
129,39,0,12
128,39,0,11
130,39,0,21
131,39,0,22
135,40,0,22
134,40,0,21
133,40,0,12
132,40,0,11
137,41,0,12
138,41,0,21
139,41,0,22
136,41,0,11
143,42,0,22
142,42,0,21
141,42,0,12
140,42,0,11
146,43,1,21
147,43,1,22
145,43,0,12
144,43,1,11
151,44,1,22
150,44,1,21
149,44,0,12
148,44,1,11
155,45,0,22
154,45,0,21
153,45,0,12
152,45,0,11
156,46,0,11
159,46,0,22
157,46,0,12
158,46,0,21
161,47,0,12
162,47,0,21
160,47,0,11
163,47,0,22
167,48,0,22
166,48,0,21
165,48,0,12
164,48,1,11
168,49,0,11
169,49,0,12
170,49,0,21
171,49,0,22
174,50,1,21
173,50,1,12
175,50,0,22
172,50,0,11
177,51,1,12
176,51,1,11
179,51,1,22
178,51,0,21
180,52,1,11
182,52,1,21
183,52,1,22
181,52,1,12
187,53,0,22
186,53,0,21
185,53,0,12
184,53,0,11
191,54,0,22
190,54,0,21
189,54,0,12
188,54,0,11
193,56,1,12
194,56,1,21
192,56,1,11
195,56,1,22
196,57,0,11
197,57,1,12
198,57,1,21
199,57,0,22
201,58,1,12
202,58,1,21
203,58,1,22
200,58,0,11
207,59,1,22
204,59,1,11
205,59,1,12
206,59,1,21
211,60,0,22
210,60,1,21
209,60,0,12
208,60,0,11
215,61,1,22
214,61,1,21
213,61,1,12
212,61,1,11
219,62,1,22
216,62,1,11
217,62,1,12
218,62,1,21
220,63,0,11
221,63,0,12
222,63,0,21
223,63,0,22
224,64,0,11
225,64,0,12
226,64,0,21
227,64,0,22
228,65,1,11
229,65,0,12
230,65,1,21
231,65,0,22
232,66,1,11
233,66,0,12
234,66,1,21
235,66,0,22
