1,11,1
1,12,0
1,21,0
1,22,0
2,11,0
2,12,0
2,21,0
2,22,0
3,11,1
3,12,1
3,21,1
3,22,1
4,11,1
4,12,1
4,21,1
4,22,0
5,11,0
5,12,0
5,21,1
5,22,0
6,11,0
6,12,0
6,21,0
6,22,0
7,11,0
7,12,0
7,21,1
7,22,0
8,11,0
8,12,0
8,21,0
8,22,0
9,11,0
9,12,0
9,21,0
9,22,0
10,11,0
10,12,0
10,21,0
10,22,1
11,11,0
11,12,0
11,21,1
11,22,0
12,11,0
12,12,0
12,21,0
12,22,1
13,11,0
13,12,0
13,21,1
13,22,0
14,11,0
14,12,0
14,21,1
14,22,1
15,11,0
15,12,0
15,21,0
15,22,1
16,11,0
16,12,0
16,21,0
16,22,1
17,11,1
17,12,0
17,21,1
17,22,1
18,11,0
18,12,0
18,21,0
18,22,0
19,11,0
19,12,1
19,21,0
19,22,0
20,11,0
20,12,0
20,21,0
20,22,0
21,11,1
21,12,0
21,21,1
21,22,1
22,11,1
22,12,0
22,21,1
22,22,0
23,11,1
23,12,0
23,21,1
23,22,0
24,11,1
24,12,1
24,21,1
24,22,1
25,11,0
25,12,0
25,21,0
25,22,0
26,11,1
26,12,0
26,21,0
26,22,0
27,11,1
27,12,1
27,21,1
27,22,1
28,11,1
28,12,1
28,21,1
28,22,1
29,11,1
29,12,1
29,21,0
29,22,0
30,11,1
30,12,0
30,21,1
30,22,0
31,11,0
31,12,0
31,21,0
31,22,0
32,11,0
32,12,0
32,21,0
32,22,0
33,11,0
33,12,0
33,21,0
33,22,0
34,11,0
34,12,0
34,21,0
34,22,0
35,11,0
35,12,1
35,21,1
35,22,0
36,11,0
36,12,0
36,21,0
36,22,0
37,11,1
37,12,0
37,21,1
37,22,1
38,11,0
38,12,0
38,21,0
38,22,0
39,11,0
39,12,0
39,21,0
39,22,0
40,11,0
40,12,0
40,21,0
40,22,0
41,11,0
41,12,0
41,21,0
41,22,0
42,11,0
42,12,0
42,21,0
42,22,0
43,11,1
43,12,0
43,21,1
43,22,1
44,11,1
44,12,0
44,21,1
44,22,1
45,11,0
45,12,0
45,21,0
45,22,0
46,11,0
46,12,0
46,21,0
46,22,0
47,11,0
47,12,0
47,21,0
47,22,0
48,11,1
48,12,0
48,21,0
48,22,0
49,11,0
49,12,0
49,21,0
49,22,0
50,11,0
50,12,1
50,21,1
50,22,0
51,11,1
51,12,1
51,21,0
51,22,1
52,11,1
52,12,1
52,21,1
52,22,1
53,11,0
53,12,0
53,21,0
53,22,0
54,11,0
54,12,0
54,21,0
54,22,0
55,11,1
55,12,0
55,21,1
55,22,0
56,11,1
56,12,1
56,21,1
56,22,1
57,11,0
57,12,1
57,21,1
57,22,0
58,11,0
58,12,1
58,21,1
58,22,1
59,11,1
59,12,1
59,21,1
59,22,1
60,11,0
60,12,0
60,21,1
60,22,0
61,11,1
61,12,1
61,21,1
61,22,1
62,11,1
62,12,1
62,21,1
62,22,1
63,11,0
63,12,0
63,21,0
63,22,0
64,11,0
64,12,0
64,21,0
64,22,0
65,11,1
65,12,0
65,21,1
65,22,0
66,11,1
